code,name,description,Source,Topic,Dataset,Unit of measure,Power code,periodicity,base_period,Derivation method,aggregation_method,Conceptual implications and limitations,Notes from original source,General comments,Reference period,Other data characteristics,geo_type
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year.,"Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,Sum,,,,,,Country
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrientsanimal and plant manuresare not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a splityear basis.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,Weighted average,,,,,,Country
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrientsanimal and plant manuresare not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a splityear basis. Arable land includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.AGRI.K2,Agricultural land (sq. km),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Sum,,,,,,Country
AG.LND.AGRI.ZS,Agricultural land (% of land area),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.ARBL.HA,Arable land (hectares),"Arable land (in hectares) includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,,,,,,,Country
AG.LND.ARBL.HA.PC,Arable land (hectares per person),"Arable land (hectares per person) includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.ARBL.ZS,Arable land (% of land area),"Arable land includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.CREL.HA,Land under cereal production (hectares),"Land under cereal production refers to harvested area, although some countries report only sown or cultivated area. Cereals include wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,Sum,,,,,,Country
AG.LND.CROP.ZS,Permanent cropland (% of land area),"Permanent cropland is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Land area below 5m is the percentage of total land where the elevation is 5 meters or less.,"Center for International Earth Science Information Network (CIESIN), Place II dataset.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.FRST.K2,Forest area (sq. km),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Sum,,,,,,Country
AG.LND.FRST.ZS,Forest area (% of land area),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),"Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Weighted average,,,,,,Country
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Average precipitation is the longterm average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,"Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,,,,,,,Country
AG.LND.TOTL.K2,Land area (sq. km),"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Sum,,,,,,Country
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land","Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year. Arable land includes land defined by the FAO as land under temporary crops (doublecropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,Weighted average,,,,,,Country
AG.PRD.CREL.MT,Cereal production (metric tons),"Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,,,,,,,Country
AG.PRD.CROP.XD,Crop production index (20042006 = 100),"Crop production index shows agricultural production for each year relative to the base period 20042006. It includes all crops except fodder crops. Regional and income group aggregates for the FAO's production indexes are calculated from the underlying values in international dollars, normalized to the base period 20042006.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,200406,,Weighted average,,,,,,Country
