code_3,indicator_code,NA
SGP,WBG:EODBR,1
NZL,WBG:EODBR,2
HKG,WBG:EODBR,3
DNK,WBG:EODBR,4
PRK,WBG:EODBR,5
NOR,WBG:EODBR,6
USA,WBG:EODBR,7
GBR,WBG:EODBR,8
FIN,WBG:EODBR,9
AUS,WBG:EODBR,10
SWE,WBG:EODBR,11
ISL,WBG:EODBR,12
IRL,WBG:EODBR,13
DEU,WBG:EODBR,14
GEO,WBG:EODBR,15
CAN,WBG:EODBR,16
EST,WBG:EODBR,17
MYS,WBG:EODBR,18
#N/A,WBG:EODBR,19
CHE,WBG:EODBR,20
AUT,WBG:EODBR,21
ARE,WBG:EODBR,22
LVA,WBG:EODBR,23
LTU,WBG:EODBR,24
PRT,WBG:EODBR,25
THA,WBG:EODBR,26
NLD,WBG:EODBR,27
MUS,WBG:EODBR,28
JPN,WBG:EODBR,29
JPN,WBG:EODBR,30
FRA,WBG:EODBR,31
POL,WBG:EODBR,32
ESP,WBG:EODBR,33
COL,WBG:EODBR,34
PER,WBG:EODBR,35
MNE,WBG:EODBR,36
SVK,WBG:EODBR,37
BGR,WBG:EODBR,38
MEX,WBG:EODBR,39
ISR,WBG:EODBR,40
CHL,WBG:EODBR,41
BEL,WBG:EODBR,42
ZAF,WBG:EODBR,43
CZE,WBG:EODBR,44
ARM,WBG:EODBR,45
RWA,WBG:EODBR,46
PRI,WBG:EODBR,47
ROM,WBG:EODBR,48
SAU,WBG:EODBR,49
QAT,WBG:EODBR,50
SVN,WBG:EODBR,51
PAN,WBG:EODBR,52
BHR,WBG:EODBR,53
HUN,WBG:EODBR,54
TUR,WBG:EODBR,55
ITA,WBG:EODBR,56
BLR,WBG:EODBR,57
JAM,WBG:EODBR,58
LUX,WBG:EODBR,59
TUN,WBG:EODBR,60
GRC,WBG:EODBR,61
RUS,WBG:EODBR,62
MDA,WBG:EODBR,63
CYP,WBG:EODBR,64
HRV,WBG:EODBR,65
OMN,WBG:EODBR,66
WSM,WBG:EODBR,67
ALB,WBG:EODBR,68
TON,WBG:EODBR,69
GHA,WBG:EODBR,70
MAR,WBG:EODBR,71
MNG,WBG:EODBR,72
GTM,WBG:EODBR,73
BWA,WBG:EODBR,74
KSV,WBG:EODBR,75
VUT,WBG:EODBR,76
KAZ,WBG:EODBR,77
VNM,WBG:EODBR,78
TTO,WBG:EODBR,79
AZE,WBG:EODBR,80
FJI,WBG:EODBR,81
URY,WBG:EODBR,82
CRI,WBG:EODBR,83
DOM,WBG:EODBR,84
SYC,WBG:EODBR,85
KWT,WBG:EODBR,86
SLB,WBG:EODBR,87
NAM,WBG:EODBR,88
ATG,WBG:EODBR,89
CHN,WBG:EODBR,90
SRB,WBG:EODBR,91
PRY,WBG:EODBR,92
SMR,WBG:EODBR,93
